date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:17	162388/162388	---M-Z	200	added ('OK')	text/html	etag:%2227a54-66325ef7-e895e85335a9f476;gz%22	https://html.xpressbuddy.com/techco/index_software_company.html	D:/portfolio/html.xpressbuddy.com/techco/index_software_company.html	(from )
16:25:18	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-630f3901-f09b2dfe3914f45d;gz%22	https://html.xpressbuddy.com/robots.txt		(from )
16:25:18	3515/3515	---M-Z	200	added ('OK')	image/svg+xml	etag:%22dbb-66325ef7-55d565e9c4466cbc;gz%22	https://html.xpressbuddy.com/techco/assets/images/site_logo/favourite_icon_2.svg	D:/portfolio/html.xpressbuddy.com/techco/assets/images/site_logo/favourite_icon_2.svg	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:18	232691/232691	---M-Z	200	added ('OK')	text/css	etag:%2238cf3-66325ef7-887879d112f93ae8;gz%22	https://html.xpressbuddy.com/techco/assets/css/bootstrap.min.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/bootstrap.min.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:19	62018/62018	---M-Z	200	added ('OK')	text/css	etag:%22f242-66325ef7-a50a3c4230218ef9;gz%22	https://html.xpressbuddy.com/techco/assets/css/animate.min.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/animate.min.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:19	647972/647972	---M-Z	200	added ('OK')	text/css	etag:%229e324-66325ef7-aaca3d717fe58759;gz%22	https://html.xpressbuddy.com/techco/assets/css/fontawesome.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/fontawesome.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:19	18452/18452	---M-Z	200	added ('OK')	text/css	etag:%224814-66325ef7-86fcedc7fbd22e4a;gz%22	https://html.xpressbuddy.com/techco/assets/css/swiper-bundle.min.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/swiper-bundle.min.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:19	5658/5658	---M-Z	200	added ('OK')	text/css	etag:%22161a-66325ef7-52f3d6d56391abd;gz%22	https://html.xpressbuddy.com/techco/assets/css/magnific-popup.min.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/magnific-popup.min.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:20	3322/3322	---M-Z	200	added ('OK')	text/css	etag:%22cfa-66325ef7-e32737226e1a053a;gz%22	https://html.xpressbuddy.com/techco/assets/css/odometer.min.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/odometer.min.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:20	163719/163719	---M-Z	200	added ('OK')	text/css	etag:%2227f87-66325ef7-24379c7d271cdb0c;gz%22	https://html.xpressbuddy.com/techco/assets/css/style.css	D:/portfolio/html.xpressbuddy.com/techco/assets/css/style.css	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:20	6669/6669	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a0d-66325ef7-b8273ff7c012e755;gz%22	https://html.xpressbuddy.com/techco/assets/images/site_logo/site_logo_2.svg	D:/portfolio/html.xpressbuddy.com/techco/assets/images/site_logo/site_logo_2.svg	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:20	112106/112106	---M-Z	200	added ('OK')	text/html	etag:%221b5ea-66325ef7-df144f742b99e594;gz%22	https://html.xpressbuddy.com/techco/index.html	D:/portfolio/html.xpressbuddy.com/techco/index.html	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:21	6671/6671	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a0f-66325ef7-632108be5e144015;gz%22	https://html.xpressbuddy.com/techco/assets/images/site_logo/site_logo_3.svg	D:/portfolio/html.xpressbuddy.com/techco/assets/images/site_logo/site_logo_3.svg	(from https://html.xpressbuddy.com/techco/index_software_company.html)
16:25:21	81862/81862	---M-Z	200	added ('OK')	text/html	etag:%2213fc6-66325ef7-d12a53b3a45330f3;gz%22	https://html.xpressbuddy.com/techco/index_business_consulting.html	D:/portfolio/html.xpressbuddy.com/techco/index_business_consulting.html	(from https://html.xpressbuddy.com/techco/index_software_company.html)
